Player,GP,G,A,P,PIM,+/-
Jean Béliveau (C),70,25,51,76,40,24
Yvan Cournoyer (RW),65,37,36,73,21,20
Jean-Claude Tremblay (D),76,11,52,63,23,16
Pete Mahovlich (LW),78,35,26,61,181,25
Jacques Lemaire (C),78,28,28,56,18,0
Marc Tardif (LW),76,19,30,49,133,25
Henri Richard (C),75,12,37,49,46,13
Guy Lapointe (D),78,15,29,44,107,28
Frank Mahovlich (LW),38,17,24,41,11,4
John Ferguson (LW/RW),60,16,14,30,162,2
Mickey Redmond (RW),40,14,15,29,35,12
Claude Larose (RW),64,10,13,23,90,-8
Terry Harper (D),78,1,21,22,116,35
Phil Roberto (RW),39,14,7,21,76,10
Réjean Houle (RW),66,10,9,19,28,7
Jacques Laperrière (D),49,0,16,16,20,24
Serge Savard (D),37,5,10,15,30,11
Léon Rochefort (RW),57,5,10,15,4,11
Bobby Sheehan (C),29,6,5,11,2,4
Bill Collins (C),40,6,2,8,39,1
Larry Pleau (C),19,1,5,6,8,-8
Ralph Backstrom (C),16,1,4,5,0,0
Guy Charron (C),15,2,2,4,2,-2
Fran Huck (C),5,1,2,3,0,3
Pierre Bouchard (D),51,0,3,3,50,3
Bob Murdoch (D),1,0,2,2,0,0
Chuck Lefley (C),1,0,0,0,0,-1
