Player,GP,G,A,P,PIM,+/-
Mel Bridgman (C),79,23,38,61,121,-27
Jan Ludvig (F),74,22,32,54,70,-18
Pat Verbeek (RW),79,20,27,47,158,-19
Joe Cirella (D),79,11,33,44,137,-43
Robert MacMillan (RW),71,17,23,40,23,-21
Aaron Broten (C),80,13,23,36,36,-28
Don Lever (LW),70,14,19,33,44,-21
Paul Gagné (LW),66,14,18,32,33,-22
Phil Russell (D),76,9,22,31,96,-27
Tim Higgins (RW),37,18,10,28,27,-4
Rick Meagher (C),52,14,14,28,16,-9
Dave Cameron (C),67,9,12,21,85,-11
Murray Brumwell (D),42,7,13,20,14,-5
Jeff Larmer (LW),40,6,13,19,8,-17
Bob Hoffmeyer (D),58,4,12,16,61,-20
Gary McAdam (LW),38,9,6,15,15,-4
Bob Lorimer (D),72,2,10,12,62,-28
Mike Antonovich (LW),38,3,5,8,16,-15
Yvon Vautour (RW),42,3,4,7,78,-18
Dave Lewis (D),66,2,5,7,63,-19
Ken Daneyko (D),11,1,4,5,17,-1
Mike Kitchen (D),43,1,4,5,24,-15
Robert Palmer (D),38,0,5,5,10,-10
Hector Marini (RW),32,2,2,4,47,-2
Larry Floyd (RW),7,1,3,4,7,-4
Rich Chernomaz (RW),7,2,1,3,2,-3
Grant Mulvey (RW),12,1,2,3,19,-5
Kevin Maxwell (C),14,0,3,3,2,-9
Rocky Trottier (F),5,1,1,2,0,-1
Bruce Driver (D),4,0,2,2,0,-2
Glenn Merkosky (C),5,1,0,1,0,0
John MacLean (RW),23,1,0,1,10,-7
Alan Hepple (D),1,0,0,0,7,-1
John Johannson (F),5,0,0,0,0,-2
Garry Howatt (LW),6,0,0,0,14,-1
